
PVD Chameera,ODIs,3,2,2,14,12*,-,14,100.00,0,0,1,0,0,0,
LD Chandimal,ODIs,100,90,16,2298,111,31.05,3024,75.99,2,14,168,28,38,3,
N Dickwella,ODIs,1,1,0,4,4,4.00,10,40.00,0,0,0,0,0,0,
TM Dilshan,ODIs,319,293,41,10007,161*,39.71,11649,85.90,22,45,1077,52,113,1,
RMS Eranga,ODIs,17,10,7,34,12*,11.33,63,53.96,0,0,4,0,5,0,
N Pradeep,ODIs,5,3,3,3,3*,-,5,60.00,0,0,0,0,0,0,
PLS Gamage,ODIs,5,2,2,0,0*,-,12,0.00,0,0,0,0,1,0,
HMRKB Herath,ODIs,71,30,15,140,17*,9.33,217,64.51,0,0,10,2,14,0,
SHT Kandamby,ODIs,39,36,6,870,93*,29.00,1250,69.60,0,5,71,0,7,0,
FDM Karunaratne,ODIs,17,13,1,190,60,15.83,276,68.84,0,1,14,0,4,0,
PHT Kaushal,ODIs,1,1,0,0,0,0.00,1,0.00,0,0,0,0,0,0,
KMDN Kulasekara,ODIs,168,113,35,1181,73,15.14,1459,80.94,0,3,82,32,42,0,
RAS Lakmal,ODIs,38,16,10,20,7*,3.33,70,28.57,0,0,0,0,8,0,
SL Malinga,ODIs,188,95,29,475,56,7.19,621,76.48,0,1,38,19,28,0,
AD Mathews,ODIs,161,135,37,3915,139*,39.94,4590,85.29,1,27,301,65,38,0,
BAW Mendis,ODIs,83,40,18,163,19*,7.40,235,69.36,0,0,15,1,15,0,
BMAJ Mendis,ODIs,54,40,10,604,72,20.13,710,85.07,0,1,46,11,13,0,
SS Pathirana,ODIs,3,3,0,66,33,22.00,72,91.66,0,0,5,2,1,0,
MDK Perera,ODIs,5,4,0,44,30,11.00,77,57.14,0,0,4,0,0,0,
MDKJ Perera,ODIs,48,46,3,1096,116,25.48,1211,90.50,2,5,118,30,16,0,
NLTC Perera,ODIs,108,80,13,1163,80*,17.35,1070,108.69,0,5,92,41,48,0,
KTGD Prasad,ODIs,24,12,6,129,31*,21.50,146,88.35,0,0,9,3,1,0,
S Prasanna,ODIs,25,22,2,193,42,9.65,235,82.12,0,0,15,10,3,0,
SMA Priyanjan,ODIs,23,20,2,420,74,23.33,522,80.45,0,2,47,3,7,0,
KC Sangakkara,ODIs,404,380,41,14234,169,41.98,18048,78.86,25,93,1385,88,402,99,
SMSM Senanayake,ODIs,46,31,11,283,42,14.15,294,96.25,0,0,30,6,19,0,
TAM Siriwardana,ODIs,5,5,1,121,52*,30.25,89,135.95,0,1,11,5,2,0,
WU Tharanga,ODIs,180,172,9,5407,174*,33.17,7342,73.64,13,28,624,28,33,0,
HDRL Thirimanne,ODIs,99,80,10,2376,139*,33.94,3301,71.97,4,14,191,19,34,0,
