PVD Chameera,
LD Chandimal,5,4,0,54,26,13.50,106,50.94,0,0,0,2,2,
N Dickwella,
TM Dilshan,17,14,3,323,64,29.36,360,89.72,0,2,1,20,
RMS Eranga,3,2,2,7,5*,-,20,35.00,0,0,0,0,0,
N Pradeep,
PLS Gamage,
HMRKB Herath,4,3,0,13,5,4.33,24,54.16,0,0,0,0,0,
SHT Kandamby,
FDM Karunaratne,
PHT Kaushal,
KMDN Kulasekara,8,4,1,18,14,6.00,21,85.71,0,0,0,1,
RAS Lakmal,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
SL Malinga,13,6,1,27,10,5.40,31,87.09,0,0,1,1,
AD Mathews,5,5,2,149,55*,49.66,168,88.69,0,1,0,13,3,
BAW Mendis,4,1,0,2,2,2.00,5,40.00,0,0,0,0,
BMAJ Mendis,3,3,0,26,13,8.66,33,78.78,0,0,0,3,0,
SS Pathirana,
MDK Perera,
MDKJ Perera,2,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
NLTC Perera,
KTGD Prasad,
S Prasanna,
SMA Priyanjan,
KC Sangakkara,22,21,2,637,90*,33.52,884,72.05,0,6,2,53,
SMSM Senanayake,2,1,0,7,7,7.00,6,116.66,0,0,0,0,0,
TAM Siriwardana,
WU Tharanga,18,18,1,571,174*,33.58,815,70.06,1,3,1,59,
HDRL Thirimanne,5,4,0,75,46,18.75,167,44.91,0,0,1,5,0,
